telepules;megye
21-es major (Kamaráspuszta);Békés
67-es major;Békés
6-os major (Komlósfecskéspuszta);Békés
81-es major;Békés
Aba;Fejér
Abádszalók;Jász-Nagykun-Szolnok
Abaliget;Baranya
Abapuszta (Balkány);Szabolcs-Szatmár-Bereg
Abasár;Heves
Abaújalpár;Borsod-Abaúj-Zemplén
Abaújdevecser (Encs);Borsod-Abaúj-Zemplén
Abaújkér;Borsod-Abaúj-Zemplén
Abaújlak;Borsod-Abaúj-Zemplén
Abaújszántó;Borsod-Abaúj-Zemplén
Abaújszolnok;Borsod-Abaúj-Zemplén
Abaújvár;Borsod-Abaúj-Zemplén
Abda;Győr-Moson-Sopron
Abod;Borsod-Abaúj-Zemplén
Abony;Pest
Ábrahámhegy;Veszprém
Ács;Komárom-Esztergom
Acsa;Pest
Acsád;Vas
Acsalag;Győr-Moson-Sopron
Acsaújlak (Acsa);Pest
Ácsteszér;Komárom-Esztergom
Adács;Heves
Ádánd;Somogy
Adásztevel;Veszprém
Adásztevel Újtelep;Veszprém
Adony;Fejér
Adorjánháza;Veszprém
Adorjánpuszta;Tolna
Adorjánpuszta;Baranya
Adorjánújtelep;Tolna
Adorjás;Baranya
Adriántelep;Borsod-Abaúj-Zemplén
Adyliget (Pesthidegkút);Budapest
Ág;Baranya
Agárd;Fejér
Agarév (Háromfa);Somogy
Ágasegyháza;Bács-Kiskun
Ágfalva;Győr-Moson-Sopron
Aggtelek;Borsod-Abaúj-Zemplén
Ágostonpuszta;Fejér
Agostyán (Tata);Komárom-Esztergom
Agyagosszergény;Győr-Moson-Sopron
Ajak;Szabolcs-Szatmár-Bereg
Ajka;Veszprém
Ajkarendek;Veszprém
Ajtósfalva (Gyula);Békés
Aka;Komárom-Esztergom
Akadémiaújtelep (Rákoskeresztúr);Budapest
Akalacspuszta;Tolna
Akarattya (Balatonkenese);Veszprém
Akasztó;Bács-Kiskun
Akasztóhalom (Kunhegyes);Jász-Nagykun-Szolnok
Akli (Zirc);Veszprém
Aknatelep (Ózd);Borsod-Abaúj-Zemplén
Alacska;Borsod-Abaúj-Zemplén
Alag (Dunakeszi);Pest
Alap;Fejér
Alatka (Boconád);Heves
Alattyán;Jász-Nagykun-Szolnok
Albert Kázmér-puszta;Győr-Moson-Sopron
Albertakna (Etes);Nógrád
Albertfalva (Budapest);Budapest
Alberti (Albertirsa);Pest
Albertirsa;Pest
Alcsisziget (Szolnok);Jász-Nagykun-Szolnok
Alcsút (Alcsútdoboz);Fejér
Alcsútdoboz;Fejér
Aldebrő;Heves
Algyő;Csongrád
Alibánfa;Zala
Állampuszta;Bács-Kiskun
Almamellék;Baranya
Almásfüzitő;Komárom-Esztergom
Almásháza;Zala
Almáskamarás;Békés
Almáskeresztúr;Baranya
Almáspuszta (Naszály);Komárom-Esztergom
Álmosd;Hajdú-Bihar
Alpár (Tiszaalpár);Bács-Kiskun
Alsóbélatelep (Fonyód);Somogy
Alsóberecki;Borsod-Abaúj-Zemplén
Alsóberkifalu (Körmend);Vas
Alsóbogát;Somogy
Alsóborsfa (Borsfa);Zala
Alsóbű (Bodrog);Somogy
Alsócsinger (Ajka);Veszprém
Alsócsöde (Csöde);Zala
Alsódaburbokor (Nyíregyháza);Szabolcs-Szatmár-Bereg
Alsódobsza;Borsod-Abaúj-Zemplén
Alsóegerszeg (Bogádmindszent);Baranya
Alsóerek (Szakmár);Bács-Kiskun
Alsófarkasi;Zala
Alsógagy;Borsod-Abaúj-Zemplén
Alsógalambos (Kiskunfélegyháza);Bács-Kiskun
Alsógalla (Tatabánya);Komárom-Esztergom
Alsógöd (Göd);Pest
Alsógörzsöny (Nemesgörzsöny);Veszprém
Alsógyükés (Pécs);Baranya
Alsóhahót (Hahót);Zala
Alsóhangony (Hangony);Borsod-Abaúj-Zemplén
Alsóhetény (Kapospula);Tolna
Alsok (Csurgó);Somogy
Alsókanda;Baranya
Alsókázsmárk (Kázsmárk);Borsod-Abaúj-Zemplén
Alsókotormány (Bajánsenye);Vas
Alsókölked;Somogy
Alsóleperd;Tolna
Alsómándpuszta;Zala
Alsómégy;Bács-Kiskun
Alsómocsolád;Baranya
Alsómonostor;Bács-Kiskun
Alsómóricgát;Bács-Kiskun
Alsónána;Tolna
Alsónémedi;Pest
Alsónemesapáti;Zala
Alsónyék;Tolna
Alsóörs;Veszprém
Alsópáhok;Zala
Alsópázsit (Nyíregyháza);Szabolcs-Szatmár-Bereg
Alsópélpuszta;Tolna
Alsópetény;Nógrád
Alsórajk;Zala
Alsóregmec;Borsod-Abaúj-Zemplén
Alsórönök (Rönök);Vas
Alsóság (Celldömölk);Vas
Alsósegesd (Segesd);Somogy
Alsósóskút (Nyírtelek);Szabolcs-Szatmár-Bereg
Alsószállás (Dunafalva);Baranya
